occCode,majorOccCodeGroup,minorOccCodeGroup,broadOccCodeGroup,majorOccNameGroup,occupation,end_0000,end_000,end_00,end_0,hourlyMean,hourlyMed,salaryMean,salaryMed,totEmp,wageSalEmp,selfEmp,f_total,f_violence,f_trans,f_fireExp,f_fallSlipTrip,f_exposure,f_contact,f_allOther,nf_total,nf_violence,nf_violence_intent,nf_violence_unintent,nf_violence_animal,nf_trans,nf_trans_roadway,nf_fireExp,nf_fallSlipTrip,nf_fallSlipTrip_lowLevel,nf_fallSlipTrip_sameLevel,nf_fallSlipTrip_noFall,nf_exposure,nf_contact,nf_contact_struckBy,nf_contact_struckAgainst,nf_contact_caughtCompCrush,nf_overextertion,nf_overextertion_liftLowering,nf_overextertion_repetition,nf_allOther,,
11-0000,11-0000,11-0000,11-0000,Management Occupations, Management occupations,TRUE,TRUE,TRUE,TRUE,56.74,48.46,118020,100790,9533100,7643100,1890100,377,95,142,6,32,20,79,3,20760,960,520,360,80,1370,970,0,8100,1620,5190,1090,1720,3430,2300,730,220,5130,1820,360,40,FALSE,FALSE
11-1000,11-0000,11-1000,11-1000,Management Occupations,          Top executives,FALSE,TRUE,TRUE,TRUE,61.03,49.19,126950,102320,2627500,2542300,85200,13,8,4,0,0,0,0,1,3720,70,20,30,0,390,200,0,1160,410,570,130,600,910,750,80,60,590,260,50,0,FALSE,FALSE
11-1010,11-0000,11-1000,11-1010,Management Occupations,               Chief executives,FALSE,FALSE,FALSE,TRUE,93.44,87.12,194350,181210,308900,238300,70500,10,6,3,0,0,0,0,1,710,0,0,0,0,40,0,0,460,340,120,0,70,50,0,0,0,70,40,0,0,FALSE,TRUE
11-1011,11-0000,11-1000,11-1010,Management Occupations,                    Chief executives,FALSE,FALSE,FALSE,FALSE,93.44,87.12,194350,181210,308900,238300,70500,10,6,3,0,0,0,0,1,710,0,0,0,0,40,0,0,460,340,120,0,70,50,0,0,0,70,40,0,0,TRUE,TRUE
11-2000,11-0000,11-2000,11-2000,Management Occupations,"          Advertising, marketing, promotions, public relations, and sales managers",FALSE,TRUE,TRUE,TRUE,65.39,57.89,136020,120420,708600,685400,23100,5,0,0,0,0,0,0,5,1270,20,0,0,20,180,110,0,750,430,250,60,20,80,40,40,0,220,60,0,0,FALSE,FALSE
11-2020,11-0000,11-2000,11-2020,Management Occupations,               Marketing and sales managers,FALSE,FALSE,FALSE,TRUE,66.52,59.1,138350,122930,603800,582300,21500,4,0,0,0,0,0,0,4,1210,20,0,0,20,160,90,0,720,430,230,60,20,80,40,30,0,220,60,0,0,FALSE,TRUE
11-2022,11-0000,11-2000,11-2020,Management Occupations,                    Sales managers,FALSE,FALSE,FALSE,FALSE,64.95,56.71,135090,117960,385500,371700,13800,4,0,0,0,0,0,0,4,1050,20,0,0,20,130,60,0,670,420,190,60,0,40,20,20,0,190,60,0,0,TRUE,TRUE
11-3000,11-0000,11-3000,11-3000,Management Occupations,          Operations specialties managers,FALSE,TRUE,TRUE,TRUE,60.32,53.88,125470,112080,1776100,1750500,25600,23,8,5,0,0,4,3,3,3350,0,0,0,0,150,130,0,1300,150,990,110,170,640,530,80,20,1070,390,50,0,FALSE,FALSE
11-3010,11-0000,11-3000,11-3010,Management Occupations,               Administrative services managers,FALSE,FALSE,FALSE,TRUE,47.56,43.29,98930,90050,281700,281100,600,4,3,0,0,0,1,0,0,670,0,0,0,0,30,30,0,220,30,160,30,20,240,200,30,0,160,0,0,0,FALSE,TRUE
11-3011,11-0000,11-3000,11-3010,Management Occupations,                    Administrative services managers,FALSE,FALSE,FALSE,FALSE,47.56,43.29,98930,90050,281700,281100,600,4,3,0,0,0,1,0,0,670,0,0,0,0,30,30,0,220,30,160,30,20,240,200,30,0,160,0,0,0,TRUE,TRUE
11-3020,11-0000,11-3000,11-3020,Management Occupations,               Computer and information systems managers,FALSE,FALSE,FALSE,TRUE,70.07,65.29,145740,135800,367600,364600,3100,3,0,1,0,0,0,0,2,160,0,0,0,0,0,0,0,100,0,30,30,0,40,30,0,0,20,0,0,0,FALSE,TRUE
11-3021,11-0000,11-3000,11-3020,Management Occupations,                    Computer and information systems managers,FALSE,FALSE,FALSE,FALSE,70.07,65.29,145740,135800,367600,364600,3100,3,0,1,0,0,0,0,2,160,0,0,0,0,0,0,0,100,0,30,30,0,40,30,0,0,20,0,0,0,TRUE,TRUE
11-3030,11-0000,11-3000,11-3030,Management Occupations,               Financial managers,FALSE,FALSE,FALSE,TRUE,67.17,58.54,139720,121750,580400,565100,15300,3,0,2,0,0,0,0,1,890,0,0,0,0,90,80,0,560,20,490,0,30,50,40,0,0,160,90,40,0,FALSE,TRUE
11-3031,11-0000,11-3000,11-3030,Management Occupations,                    Financial managers,FALSE,FALSE,FALSE,FALSE,67.17,58.54,139720,121750,580400,565100,15300,3,0,2,0,0,0,0,1,890,0,0,0,0,90,80,0,560,20,490,0,30,50,40,0,0,160,90,40,0,TRUE,TRUE
11-3050,11-0000,11-3000,11-3050,Management Occupations,               Industrial production managers,FALSE,FALSE,FALSE,TRUE,51.47,46.7,107060,97140,170600,168200,2400,3,0,0,0,0,0,0,3,480,0,0,0,0,0,0,0,150,30,110,0,20,130,130,0,0,170,40,0,0,FALSE,TRUE
11-3051,11-0000,11-3000,11-3050,Management Occupations,                    Industrial production managers,FALSE,FALSE,FALSE,FALSE,51.47,46.7,107060,97140,170600,168200,2400,3,0,0,0,0,0,0,3,480,0,0,0,0,0,0,0,150,30,110,0,20,130,130,0,0,170,40,0,0,TRUE,TRUE
11-3070,11-0000,11-3000,11-3070,Management Occupations,"               Transportation, storage, and distribution managers",FALSE,FALSE,FALSE,TRUE,46.94,42.88,97630,89190,115500,114200,1300,8,0,0,0,0,0,0,8,880,0,0,0,0,0,0,0,80,20,50,0,90,170,120,30,20,530,230,0,0,FALSE,TRUE
11-3071,11-0000,11-3000,11-3070,Management Occupations,"                    Transportation, storage, and distribution managers",FALSE,FALSE,FALSE,FALSE,46.94,42.88,97630,89190,115500,114200,1300,8,0,0,0,0,0,0,8,880,0,0,0,0,0,0,0,80,20,50,0,90,170,120,30,20,530,230,0,0,TRUE,TRUE
11-9000,11-0000,11-9000,11-9000,Management Occupations,          Other management occupations,FALSE,TRUE,TRUE,TRUE,46.86,42.03,97480,87420,4421000,2664800,1756100,336,77,132,6,28,15,76,2,12420,860,480,330,50,650,540,0,4890,630,3370,790,940,1810,980,530,140,3240,1110,260,30,FALSE,FALSE
