minorOccCodeGroup,broadOccCodeGroup,majorOccNameGroup,occupation,end_0000,end_000,end_00,end_0,hourlyMean,hourlyMed,salaryMean,salaryMed,totEmp,wageSalEmp,selfEmp,f_total,f_violence,f_trans,f_fireExp,f_fallSlipTrip,f_exposure,f_contact,f_allOther,nf_total,nf_violence,nf_violence_intent,nf_violence_unintent,nf_violence_animal,nf_trans,nf_trans_roadway,nf_fireExp,nf_fallSlipTrip,nf_fallSlipTrip_lowLevel,nf_fallSlipTrip_sameLevel,nf_fallSlipTrip_noFall,nf_exposure,nf_contact,nf_contact_struckBy,nf_contact_struckAgainst,nf_contact_caughtCompCrush,nf_overextertion,nf_overextertion_liftLowering,nf_overextertion_repetition,nf_allOther,,,stacked,,
11-1000,11-1010,Management Occupations,Chief executives,FALSE,FALSE,FALSE,TRUE,93.44,87.12,194350,181210,308900,238300,70500,10,6,3,0,0,0,0,1,710,0,0,0,0,40,0,0,460,340,120,0,70,50,0,0,0,70,40,0,0,FALSE,TRUE,TRUE,,Chief executives
11-2020,11-2020,Management Occupations,Marketing and sales managers,FALSE,FALSE,FALSE,TRUE,66.52,59.1,138350,122930,603800,582300,21500,4,0,0,0,0,0,0,4,1210,20,0,0,20,160,90,0,720,430,230,60,20,80,40,30,0,220,60,0,0,FALSE,TRUE,TRUE,,Marketing and sales managers
11-2022,11-2022,Management Occupations,Sales managers,FALSE,FALSE,FALSE,FALSE,64.95,56.71,135090,117960,385500,371700,13800,4,0,0,0,0,0,0,4,1050,20,0,0,20,130,60,0,670,420,190,60,0,40,20,20,0,190,60,0,0,TRUE,TRUE,TRUE,,Sales managers
11-3010,11-3010,Management Occupations,Administrative services managers,FALSE,FALSE,FALSE,TRUE,47.56,43.29,98930,90050,281700,281100,600,4,3,0,0,0,1,0,0,670,0,0,0,0,30,30,0,220,30,160,30,20,240,200,30,0,160,0,0,0,FALSE,TRUE,TRUE,,Administrative services managers
11-3020,11-3020,Management Occupations,Computer and information systems managers,FALSE,FALSE,FALSE,TRUE,70.07,65.29,145740,135800,367600,364600,3100,3,0,1,0,0,0,0,2,160,0,0,0,0,0,0,0,100,0,30,30,0,40,30,0,0,20,0,0,0,FALSE,TRUE,TRUE,,Computer and information systems managers
11-3030,11-3030,Management Occupations,Financial managers,FALSE,FALSE,FALSE,TRUE,67.17,58.54,139720,121750,580400,565100,15300,3,0,2,0,0,0,0,1,890,0,0,0,0,90,80,0,560,20,490,0,30,50,40,0,0,160,90,40,0,FALSE,TRUE,TRUE,,Financial managers
11-3050,11-3050,Management Occupations,Industrial production managers,FALSE,FALSE,FALSE,TRUE,51.47,46.7,107060,97140,170600,168200,2400,3,0,0,0,0,0,0,3,480,0,0,0,0,0,0,0,150,30,110,0,20,130,130,0,0,170,40,0,0,FALSE,TRUE,TRUE,,Industrial production managers
11-3070,11-3070,Management Occupations,"Transportation, storage, and distribution managers",FALSE,FALSE,FALSE,TRUE,46.94,42.88,97630,89190,115500,114200,1300,8,0,0,0,0,0,0,8,880,0,0,0,0,0,0,0,80,20,50,0,90,170,120,30,20,530,230,0,0,FALSE,TRUE,TRUE,,"Transportation, storage, and distribution managers"
11-9013,11-9013,Management Occupations,"Farmers, ranchers, and other agricultural managers",FALSE,FALSE,FALSE,FALSE,36.44,31.91,75790,66360,1028700,282900,745800,260,31,116,6,22,11,72,2,80,0,0,0,0,0,0,0,40,0,30,0,0,20,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,"Farmers, ranchers, and other agricultural managers"
11-9020,11-9020,Management Occupations,Construction managers,FALSE,FALSE,FALSE,TRUE,47.84,42.93,99510,89300,403800,251100,152700,3,0,3,0,0,0,0,0,1310,0,0,0,0,20,20,0,360,170,140,40,20,330,160,30,0,580,290,0,0,FALSE,TRUE,TRUE,,Construction managers
11-9030,11-9030,Management Occupations,Education administrators,FALSE,FALSE,FALSE,TRUE,44.79,41.8,93160,86950,531600,520700,10900,4,1,0,0,0,0,1,2,640,110,0,100,0,40,30,0,230,20,190,20,50,190,150,40,0,30,0,0,0,FALSE,TRUE,TRUE,,Education administrators
11-9032,11-9032,Management Occupations,"Education administrators, elementary and secondary school",FALSE,FALSE,FALSE,FALSE,,,95390,92510,251300,249000,2400,2,1,0,0,0,0,1,0,190,30,0,20,0,0,0,0,50,0,30,0,0,70,30,40,0,0,0,0,0,TRUE,TRUE,TRUE,,"Education administrators, elementary and secondary school"
